Subject	Scaling factor	Quantile value	Number of identified features	Library size
56.CA.LeftBackPaw.663863	747.999999999999	2	1699	1e+05
59.HA.RightPalm.663869	410.999999999999	2	894	1e+05
56.CA.RightFrontPaw.663872	1068	3	1903	1e+05
59.HA.Forehead.663871	297.999999999999	1	820	1e+05
59.HB.LeftPalm.663884	356.999999999999	2	711	1e+05
59.HB.RightPalm.663870	300.999999999999	1	729	1e+05
56.CA.RightBackPaw.663868	641.999999999999	2	1412	1e+05
59.HB.Forehead.663865	205.999999999999	1	507	1e+05
56.CA.Forehead.663874	407.999999999999	1.21807672096691	1129	1e+05
59.HA.LeftPalm.663875	437.999999999999	2	916	1e+05
56.CA.Mouth.663877	179.999999999999	1	481	1e+05
FL3.37a.1.663867	201.999999999999	1	522	1e+05
59.HB.Stool.663878	373.999999999999	2	654	1e+05
59.HA.Stool.663876	310.999999999999	2	563	1e+05
HI20.58e.2.663861	185.999999999999	1	486	1e+05
59.HA.Mouth.663864	121.999999999999	1	283	1e+05
UT15.52a.663879	160.999999999999	1	375	1e+05
59.HB.Mouth.663866	131.999999999999	1	297	1e+05
UT15.51a.663882	527.999999999999	2	957	1e+05
FL3.37a.2.663880	135.999999999999	1	346	1e+05
FL3.37a.3.663873	513.999999999999	2	928	1e+05
56.CA.Stool.663862	256.999999999999	1	590	1e+05
HI20.58e.3.663881	193.999999999999	1	519	1e+05
FL3.36a.3.663883	446.999999999999	2	798	1e+05
